Season,Round,Circuit,Driver,LapNumber,LapTime_s,Compound,TyreLife,IsPit,Label,anomaly_score,error_Speed,error_Throttle,error_Brake,error_RPM,error_nGear,dominant_channel,elevated_channels,failure_mode
2024,13,Hungarian Grand Prix,NOR,67,85.666,MEDIUM,23,False,normal,0.5407738794941994,0.48706768185156163,0.6163198909568205,0.5521316543934063,0.46401618340552514,0.5018544116504721,Throttle,"['Throttle', 'Brake']",complex_multi_channel
2024,13,Hungarian Grand Prix,ALB,62,87.412,HARD,33,False,normal,0.538433247728429,0.5175919161128958,0.6443675423921514,0.5534763926470814,0.46936944176591217,0.5330926266267336,Throttle,"['Throttle', 'Brake']",complex_multi_channel
2024,13,Hungarian Grand Prix,BOT,49,85.509,HARD,4,False,normal,0.545953246543334,0.5535752274616649,0.5995859417455559,0.5565404697430697,0.49184124062839274,0.5163286752158427,Throttle,"['Speed', 'Throttle', 'Brake']",complex_multi_channel
2024,14,Belgian Grand Prix,SAR,2,112.288,MEDIUM,2,False,normal,0.5400405528038756,0.5519897343739743,0.6011960820074096,0.5277782538957526,0.4836258072133049,0.562090620439854,Throttle,"['Speed', 'Throttle', 'nGear']",complex_multi_channel
2024,15,Dutch Grand Prix,MAG,3,83.466,HARD,3,False,normal,0.5462772708359988,0.5279337992060291,0.6011818653441391,0.5268238174756432,0.5254184438374353,0.568337315313598,Throttle,"['Throttle', 'RPM', 'nGear']",complex_multi_channel
2024,17,Azerbaijan Grand Prix,VER,22,108.679,HARD,10,False,normal,0.5376580022558755,0.5132324813043346,0.516564340726151,0.519255515783477,0.5228123682609921,0.4894362180683506,RPM,['RPM'],engine_anomaly
2024,17,Azerbaijan Grand Prix,VER,24,110.602,HARD,12,False,normal,0.5388999576284451,0.5359800549435308,0.5029311329466757,0.5144260219840344,0.47539035799136226,0.5070929599654499,Speed,['Speed'],traffic_or_off_track
2024,17,Azerbaijan Grand Prix,VER,38,107.282,HARD,26,False,normal,0.5481037298286358,0.49883667271171045,0.49965802873571796,0.6128761105050554,0.49548675833392597,0.4963345370937304,Brake,['Brake'],brake_system
2024,17,Azerbaijan Grand Prix,GAS,2,112.861,HARD,2,False,normal,0.5420462986351525,0.5495247750562341,0.5288870834231241,0.5126898495483909,0.5088819987615671,0.5801160732294459,nGear,"['Speed', 'RPM', 'nGear']",drivetrain_gearbox
2024,17,Azerbaijan Grand Prix,GAS,15,111.674,HARD,15,False,normal,0.5371361902329763,0.5287754895060578,0.5415640587514489,0.516480736312811,0.5031807285060137,0.5520728301721811,nGear,['nGear'],gearbox
2024,17,Azerbaijan Grand Prix,PER,11,108.721,MEDIUM,11,False,normal,0.5435458095489835,0.5071077182347961,0.5115543868444098,0.5752775655474726,0.4719807584626841,0.5183645121828133,Brake,['Brake'],brake_system
2024,17,Azerbaijan Grand Prix,PER,22,108.111,HARD,9,False,normal,0.5369601532146455,0.5238215944068596,0.5418234465061486,0.5295807491985528,0.460124519653341,0.5204015695062411,Throttle,['Throttle'],driver_error_or_ers
2024,17,Azerbaijan Grand Prix,PER,33,108.442,HARD,20,False,normal,0.5459321234672755,0.5400531931581559,0.5132544117861663,0.4969357654855874,0.48164441232122857,0.5214144860566552,Speed,['Speed'],traffic_or_off_track
2024,17,Azerbaijan Grand Prix,PER,37,108.328,HARD,24,False,normal,0.536732818852646,0.5411586296725138,0.5377657677562411,0.5335351489883274,0.4918053120633511,0.5287216107152828,Speed,"['Speed', 'Brake']",brake_failure_decel
2024,17,Azerbaijan Grand Prix,PER,48,108.303,HARD,35,False,pre_failure,0.5382323858077638,0.5483511365613506,0.5191870376505741,0.4988072782796286,0.4877226316223248,0.511073279423409,Speed,['Speed'],traffic_or_off_track
2024,17,Azerbaijan Grand Prix,PER,49,108.45,HARD,36,False,pre_failure,0.5411871023697671,0.5376636547625274,0.5369208435180186,0.5048872394615241,0.4972358233798679,0.541761751862722,nGear,['nGear'],gearbox
2024,17,Azerbaijan Grand Prix,ALO,2,110.081,MEDIUM,3,False,normal,0.5457311539743337,0.5231366134265938,0.5816644016418915,0.5071613379917567,0.4564970703205052,0.5605123560373775,Throttle,"['Throttle', 'nGear']",complex_multi_channel
2024,17,Azerbaijan Grand Prix,ALO,7,109.66,MEDIUM,8,False,normal,0.5445673951288247,0.524327231179028,0.5432592039207007,0.4916595734316181,0.4592694369865394,0.5451919435854754,nGear,['nGear'],gearbox
2024,17,Azerbaijan Grand Prix,ALO,24,108.835,HARD,14,False,normal,0.5408382755990807,0.534118534055292,0.5597313124711727,0.5173040145587484,0.4518029434656136,0.5546047396035285,Throttle,"['Throttle', 'nGear']",complex_multi_channel
2024,17,Azerbaijan Grand Prix,ALO,28,108.635,HARD,18,False,normal,0.5376402180761737,0.5107591676042125,0.5392377210261465,0.4833686823412002,0.45501264341472347,0.5491822317334428,nGear,['nGear'],gearbox
2024,17,Azerbaijan Grand Prix,ALO,29,108.782,HARD,19,False,normal,0.5425601549422874,0.5368439584332955,0.5471212121900947,0.5056516720682679,0.4594339148736248,0.5628010032302098,nGear,['nGear'],gearbox
2024,17,Azerbaijan Grand Prix,ALO,38,108.131,HARD,28,False,normal,0.5381635589370051,0.510868811880455,0.5393176965205999,0.49406198449332794,0.448772418087456,0.5530653103856538,nGear,['nGear'],gearbox
2024,17,Azerbaijan Grand Prix,ALO,40,107.719,HARD,30,False,normal,0.5376895538884294,0.5107374845801222,0.5292321605699906,0.4903564336930654,0.46797273889237423,0.5309317136508725,nGear,['nGear'],gearbox
2024,17,Azerbaijan Grand Prix,ALO,46,107.571,HARD,36,False,normal,0.5467166534427869,0.5345057427995469,0.5527498854925593,0.5257810180850949,0.45509029621798053,0.5854143516137607,nGear,['nGear'],gearbox
2024,17,Azerbaijan Grand Prix,ALO,49,107.152,HARD,39,False,normal,0.5367896949194191,0.5283206224196815,0.518411044799825,0.474384716390519,0.45581337755861373,0.5729485759971562,nGear,['nGear'],gearbox
2024,17,Azerbaijan Grand Prix,LEC,35,107.643,HARD,19,False,normal,0.537317969053019,0.5339524900068253,0.5177213628582548,0.5090414288963534,0.5199360315274214,0.5114950878921241,Speed,['RPM'],engine_anomaly
2024,17,Azerbaijan Grand Prix,STR,5,109.97,HARD,5,False,normal,0.5390400437278277,0.5294360534864835,0.5453946778909161,0.49810129408229453,0.49017007482546365,0.5325435478987255,Throttle,['Throttle'],driver_error_or_ers
2024,17,Azerbaijan Grand Prix,STR,7,109.687,HARD,7,False,normal,0.5408391856900817,0.5232614297932413,0.572358576615412,0.5397387987562972,0.4737881683492038,0.552373787815721,Throttle,"['Throttle', 'Brake', 'nGear']",complex_multi_channel
2024,17,Azerbaijan Grand Prix,STR,17,110.709,HARD,17,False,normal,0.5369825742278881,0.5066594707775682,0.5527736357912632,0.47959031790948664,0.49003780519996204,0.5199660703673669,Throttle,['Throttle'],driver_error_or_ers
2024,17,Azerbaijan Grand Prix,STR,20,110.293,HARD,20,False,normal,0.5371082925281534,0.5180840943394361,0.5591284035544494,0.5109519645120116,0.4908676755769891,0.5354211194747199,Throttle,['Throttle'],driver_error_or_ers
2024,17,Azerbaijan Grand Prix,STR,21,110.509,HARD,21,False,normal,0.5577080764567162,0.5511746543541174,0.5609483379337146,0.5033188640291502,0.4908035609936032,0.552172878210032,Throttle,"['Speed', 'Throttle', 'nGear']",complex_multi_channel
2024,17,Azerbaijan Grand Prix,STR,24,109.018,HARD,3,False,normal,0.5371586508424,0.534383838650643,0.5586005929887986,0.5014093460137341,0.47500005635959597,0.5538735796165972,Throttle,"['Throttle', 'nGear']",complex_multi_channel
2024,17,Azerbaijan Grand Prix,STR,31,108.148,HARD,10,False,normal,0.5513087284627517,0.522878584080697,0.5499282017436602,0.544837848404702,0.48958398308212614,0.5399680762566,Throttle,['Brake'],brake_system
2024,17,Azerbaijan Grand Prix,STR,32,108.849,HARD,11,False,normal,0.5555022698958776,0.5474041474465535,0.5720001497839383,0.52767311506868,0.496173097199042,0.5661694636764074,Throttle,"['Speed', 'Throttle', 'nGear']",complex_multi_channel
2024,17,Azerbaijan Grand Prix,STR,44,108.745,HARD,23,False,pre_failure,0.5380050260817554,0.51570747771144,0.5351872567852624,0.4673388739784621,0.4841616964677531,0.5115620284581472,Throttle,['Throttle'],driver_error_or_ers
2024,17,Azerbaijan Grand Prix,TSU,3,113.328,MEDIUM,4,False,normal,0.5391651640972555,0.532586917111561,0.5358014480178596,0.49218958921213624,0.4872627701733099,0.5673230280349885,nGear,['nGear'],gearbox
2024,17,Azerbaijan Grand Prix,TSU,5,113.121,MEDIUM,6,False,normal,0.5455214408404445,0.5592739768082255,0.5526221655890166,0.5488269781642003,0.4764243467859371,0.6000699938158736,nGear,"['Speed', 'Brake', 'nGear']",complex_multi_channel
2024,17,Azerbaijan Grand Prix,ALB,5,109.78,HARD,5,False,normal,0.5488042196326481,0.5298303244521577,0.5513479373554518,0.5914141268519023,0.5075038943684491,0.5173184181242974,Brake,"['Brake', 'RPM']",complex_multi_channel
2024,17,Azerbaijan Grand Prix,ALB,7,109.533,HARD,7,False,normal,0.5470338311330442,0.5286952349906726,0.5270273398302375,0.5805693271979262,0.4710847212757673,0.5257475412893743,Brake,['Brake'],brake_system
2024,17,Azerbaijan Grand Prix,ALB,11,109.199,HARD,11,False,normal,0.5392988059370163,0.5232023660225416,0.5200567727028637,0.557361010442761,0.4715646876933107,0.5110272758607964,Brake,['Brake'],brake_system
2024,17,Azerbaijan Grand Prix,ALB,37,108.394,MEDIUM,6,False,normal,0.5443362883397088,0.5358172974008286,0.5306980800970982,0.5079705093769272,0.500414525143523,0.5143203923583004,Speed,['Speed'],traffic_or_off_track
2024,17,Azerbaijan Grand Prix,ALB,38,108.124,MEDIUM,7,False,normal,0.5370012208383877,0.5308691062139989,0.5329711174241223,0.5087437350652371,0.508399242977637,0.5332685451391748,nGear,['RPM'],engine_anomaly
2024,17,Azerbaijan Grand Prix,ALB,46,107.586,MEDIUM,15,False,normal,0.542685734703071,0.5349848177897114,0.5351119114711139,0.510911966483406,0.48757182685700434,0.5225333604413316,Throttle,['Throttle'],driver_error_or_ers
2024,17,Azerbaijan Grand Prix,ZHO,2,113.999,HARD,3,False,normal,0.5435714013370827,0.5417644634908968,0.5403003996899856,0.5315320889697236,0.5165231345268264,0.5360037248583502,Speed,"['Speed', 'RPM']",drivetrain
2024,17,Azerbaijan Grand Prix,ZHO,3,112.11,HARD,4,False,normal,0.539381545237356,0.553252248569874,0.5477268999413017,0.5584024599157699,0.5055351590825554,0.5136348217447169,Brake,"['Speed', 'Brake']",brake_failure_decel
2024,17,Azerbaijan Grand Prix,ZHO,5,113.333,HARD,6,False,normal,0.5471393802915672,0.5577836244835067,0.5728786324225517,0.5682648905157475,0.5121903898943473,0.5675480345174957,Throttle,"['Speed', 'Throttle', 'Brake', 'RPM', 'nGear']",complex_multi_channel
2024,17,Azerbaijan Grand Prix,ZHO,7,111.105,HARD,8,False,normal,0.538148111672729,0.5499435644782762,0.5527536590220101,0.5424027347734263,0.5154816784004225,0.5148963050686255,Throttle,"['Speed', 'Brake', 'RPM']",complex_multi_channel
2024,17,Azerbaijan Grand Prix,HUL,2,112.034,MEDIUM,2,False,normal,0.5422378228191777,0.5354390134321008,0.5360556275072048,0.4997719188867366,0.5313912448091018,0.5190496734294051,Throttle,['RPM'],engine_anomaly
2024,17,Azerbaijan Grand Prix,HUL,9,109.819,MEDIUM,9,False,normal,0.541971833851953,0.5417230500562662,0.5446798583478275,0.5228255940789218,0.5253402418643542,0.5231098527980147,Throttle,"['Speed', 'RPM']",drivetrain
2024,17,Azerbaijan Grand Prix,HUL,38,109.638,HARD,23,False,normal,0.5392196546885262,0.5448957091856285,0.5568599069274469,0.48968448794863667,0.49299236842785726,0.536650148067899,Throttle,['Speed'],traffic_or_off_track
2024,17,Azerbaijan Grand Prix,HUL,39,108.637,HARD,24,False,normal,0.5411536479227411,0.5291932559175858,0.5347383322823005,0.4957735178246996,0.5163114042314686,0.5230488918004891,Throttle,['RPM'],engine_anomaly
2024,17,Azerbaijan Grand Prix,HUL,44,107.934,HARD,29,False,normal,0.5369649548053516,0.5221051703009825,0.4969156674283296,0.5167413078889518,0.48980641586549906,0.508261370834495,Speed,['Speed'],traffic_or_off_track
2024,17,Azerbaijan Grand Prix,RIC,2,112.896,HARD,3,False,normal,0.5402356078016752,0.5279517817080387,0.5219916376620446,0.5273757190302031,0.4969944134245663,0.5501827984834062,nGear,['nGear'],gearbox
2024,17,Azerbaijan Grand Prix,RIC,3,111.71,HARD,4,False,normal,0.5387152220743467,0.5399734840126035,0.5443824850321468,0.5249245677439227,0.4689184089864726,0.5845917728516683,nGear,"['Speed', 'nGear']",complex_multi_channel
2024,17,Azerbaijan Grand Prix,RIC,4,109.436,HARD,5,False,normal,0.5428477007711318,0.5278568369146559,0.5406067294920169,0.5344425863052165,0.46585471946862317,0.5354806002961419,Throttle,['Brake'],brake_system
